LocationID,LocationName,UTM_E,UTM_N,UTMZone
299,D05-ADC1,433486,4651062,16N
301,D07-ASC2,426640,4656804,16N
302,R05-MTC1,424431,4635651,16N
303,S05-RES1,431534,4623607,16N
304,S07-STJ1,422440,4616686,16N
305,R04-SCH1,429577,4634101,16N
308,D02-HUP1,441984,4639557,16N
310,D02-JBS1,446955,4644300,16N
312,D02-MBS2,447546,4645939,16N
313,D02-MDU1,447542,4646060,16N
314,D02-MOP1,439938,4640991,16N
315,D02-RCP1,442530,4643467,16N
316,D02-SCP1,443127,4641452,16N
317,D03-AFP1,440609,4644105,16N
318,D03-AMP1,438005,4646551,16N
319,D03-CHP1,436807,4643667,16N
320,D03-GOM1,439467,4647289,16N
322,D03-MFP1,438554,4645949,16N
324,D04-DNP1,435016,4646204,16N
325,D04-FGP1,437490,4647531,16N
326,D04-RDP1,434928,4648923,16N
329,D05-BRP1,433167,4651141,16N
330,J01-BBS1,449319,4633118,16N
332,J01-LMP1,449308,4631876,16N
334,J01-SEP1,446999,4639027,16N
335,J01-SKP1,445154,4636654,16N
338,R02-DPG1,441926,4634510,16N
341,R03-AUP1,436203,4637589,16N
342,R03-CPG1,435929,4636259,16N
343,S02-BNS1,450739,4629074,16N
344,S02-BRI1,442042,4631036,16N
345,S02-CPR1,444272,4632517,16N
346,S02-MCP1,443849,4630690,16N
347,S02-PIP1,439385,4631521,16N
352,S03-JKP1,451553,4625766,16N
353,S03-JKP2,451796,4626151,16N
354,S03-LCP1,437635,4629399,16N
355,S03-PSP1,439199,4626503,16N
356,S03-VIP1,437876,4628109,16N
357,S03-WAP1,440288,4629118,16N
358,S04-HAP1,435234,4625682,16N
359,S04-SSP1,433760,4627804,16N
364,D04-EDW3,436665,4649055,16N
365,D04-EVC1,436420,4649014,16N
367,D05-MIA1,434129,4652772,16N
370,D07-NOC1,427273,4660625,16N
372,D08-DAW2,425502,4665194,16N
373,D08-DAW3,426125,4664126,16N
375,R04-MMW2,430931,4633766,16N
376,S04-OTW1,433244,4629563,16N
377,S06-CBW1,425314,4619769,16N
379,S07-SAG1,422039,4616369,16N
380,R06-SLT1,420847,4635567,16N
381,R06-YOW1,422550,4634509,16N
382,R07-GOF1,413527,4635414,16N
383,R08-WBK1,411883,4632753,16N
384,R09-BLW1,404784,4635214,16N
386,R09-LIM2,406803,4636071,16N
389,R10-WCP3,397958,4638235,16N
390,R10-WDW1,401055,4635576,16N
393,S07-WGL2,421471,4617014,16N
394,S08-WGL1,416857,4616262,16N
395,S08-WGL2,417471,4616052,16N
396,R10-FRM1,395087,4630453,16N
397,R10-FRM2,395829,4632027,16N
398,R08-DAP1,410451,4636475,16N
399,R08-PAP1,412095,4634351,16N
400,D06-KCG1,429421,4658994,16N
401,D09-RYW1,425325,4669890,16N
402,D10-CAN1,422570,4676856,16N
404,D10-MAC1,423491,4678479,16N
405,S10-LEW1,410239,4605858,16N
406,R07-FSP1,415139,4633726,16N
407,R07-MMP1,416773,4636279,16N
408,R05-STP1,427869,4637181,16N
409,R06-OTB1,418834,4633860,16N
410,R03-EUC1,434285,4635174,16N
411,R03-MAP1,433295,4635416,16N
413,D05-PRC1,431129,4652505,16N
414,D08-CCC1,423792,4667808,16N
415,D09-CLG1,424348,4670718,16N
417,R05-FMG1,424224,4633329,16N
418,R05-GOC1,426715,4634340,16N
419,R08-VLG1,411104,4633916,16N
422,R09-CTG3,403529,4633792,16N
423,R09-SMI1,407666,4634032,16N
424,S05-LNC1,429760,4621558,16N
426,S05-SFP2,428691,4623408,16N
427,S09-SMC1,415686,4612193,16N
428,S10-LPC1,412640,4604963,16N
429,J01-UIC1,446383,4635431,16N
435,R06-SLT2,420606,4636302,16N
436,R07-YHR1,417861,4635347,16N
437,D10-VHC1,421816,4674934,16N
438,D09-VTC1,423286,4672819,16N
439,S09-ILC1,410923,4610519,16N
440,S09-KTP1,413952,4614568,16N
442,S09-VTW2,411772,4613771,16N
443,S10-ILC1,410942,4610112,16N
445,S10-LPP2,410631,4604024,16N
