StationID,Easting,Northing
D02-BMT0,442542.5,4640465.5
D02-HUP0,442002.5,4639558.5
D02-JBS1,446955,4644300
D02-MBS0,447555,4645871.5
D02-MDU1,447542,4646060
D02-MOP1,439938,4640991
D02-RCP1,442530,4643467
D02-SCP1,443127,4641452
D03-AFP1,440609,4644105
D03-AMP1,438005,4646551
D03-CHP1,436807,4643667
D03-GOM1,439467,4647289
D03-HOR1,442425,4645302
D03-MFP0,438516,4645953.5
D03-STB1,444847,4646615
D04-DNP1,435016,4646204
D04-EDW0,436665.333333333,4648971.33333333
D04-EVC0,436436,4649074.5
D04-FGP1,437490,4647531
D04-RDP1,434928,4648923
D04-ROS0,442963,4648631.5
D05-ADC1,433486,4651062
D05-BRP1,433167,4651141
D05-MHC1,431095,4654039
D05-MIA1,434129,4652772
D05-PRC1,431129,4652505
D06-KCG1,429421,4658994
D07-ASC0,426079,4656775
D07-BEC0,427088.5,4659782.5
D07-NOC1,427273,4660625
D07-PLN1,425355,4661968
D08-BOR1,427092,4665606
D08-CCC1,423792,4667808
D08-DAW0,426187.5,4663908
D08-DAW2,425502,4665194
D09-BON0,421507.5,4671093.5
D09-CLG0,424226.5,4671020
D09-RYW1,425325,4669890
D09-VTC1,423286,4672819
D10-CAN0,422531.5,4676843.5
D10-KEM1,422642,4678827
D10-MAC1,423491,4678479
D10-VHC1,421816,4674934
J01-BBS1,449319,4633118
J01-CLP1,445913,4640354
J01-LMP1,449308,4631876
J01-NOR1,449545,4634500
J01-SEP1,446999,4639027
J01-SKP1,445154,4636654
J01-TFS1,449500,4632347
J01-UIC1,446383,4635431
R02-ALT1,442607,4636103
R02-DPG1,441926,4634510
R02-FRP1,439183,4634676
R02-GFP1,440717,4637147
R03-AUP1,436203,4637589
R03-CPG1,435929,4636259
R03-EUC1,434285,4635174
R03-MAP1,433295,4635416
R04-MMW0,430987,4633677.5
R04-SCH1,429577,4634101
R05-FMG1,424224,4633329
R05-GOC1,426715,4634340
R05-MTC1,424431,4635651
R05-STP1,427869,4637181
R06-OTB1,418834,4633860
R06-SLT1,420847,4635567
R06-SLT2,420606,4636302
R06-YOW1,422550,4634509
R07-FSP1,415139,4633726
R07-GOF1,413527,4635414
R07-MMP1,416773,4636279
R07-YHR1,417861,4635347
R08-DAP1,410451,4636475
R08-PAP1,412095,4634351
R08-VLG1,411104,4633916
R08-WBK1,411883,4632753
R09-BLW1,404784,4635214
R09-CTG0,404247.666666667,4634037.66666667
R09-LIM0,406574.5,4636086
R09-SMI1,407666,4634032
R10-FRM1,395087,4630453
R10-FRM2,395829,4632027
R10-WCP0,398185.666666667,4638025
R10-WDW0,401023.5,4635612.5
S02-BNS1,450739,4629074
S02-BRI1,442042,4631036
S02-CPR1,444272,4632517
S02-MCP1,443849,4630690
S02-PIP1,439385,4631521
S02-PLP1,446141,4632666
S02-TNE1,450172,4630663
S02-TNW1,450118,4630397
S03-ARP1,439022,4628447
S03-JKP1,451553,4625766
S03-JKP2,451796,4626151
S03-LCP1,437635,4629399
S03-PSP1,439199,4626503
S03-VIP1,437876,4628109
S03-WAP1,440288,4629118
S04-HAP1,435234,4625682
S04-OTW1,433244,4629563
S04-SSP1,433760,4627804
S04-VFP1,433888,4626105
S04-WEP1,435111,4626634
S05-LNC1,429760,4621558
S05-RES1,431534,4623607
S05-SFP0,428743,4623486
S06-CBW1,425314,4619769
S06-CBW2,425770,4620051
S07-SAG1,422039,4616369
S07-STJ1,422440,4616686
S07-WGL0,421525,4617070
S08-WGL1,416857,4616262
S08-WGL2,417471,4616052
S09-ILC1,411684,4610203
S09-KTP1,413952,4614568
S09-SMC1,415686,4612193
S09-VTW0,411682,4613719.5
S10-ILC1,410942,4610112
S10-LEW1,410239,4605858
S10-LPC1,412640,4604963
S10-LPP0,410620,4604018.5
