"type","request_number","date","year","month","block","description","lon","lat"
"Agency Assists","11-00039662","Jan 09, 2011",2011,1,"7500 N PAULINA ST, Chicago, Illinois","COYOTE ON CTA RED LINE TRACKS",-87.6731288,42.0184257
"Agency Assists","11-03762917","Sep 11, 2011",2011,9,"400 E 130TH ST, Chicago, Illinois","coyote sighted in area - cpd stopped acc in field",-87.6074618,41.6592731
"Agency Assists","12-00151810","Feb 03, 2012",2012,2,"1100 S MORGAN ST, Chicago, Illinois","cpd has coyote confined at this location - cpd",-87.6516484,41.8684225
"Agency Assists","12-00316424","Feb 22, 2012",2012,2,"300 W 35TH ST, Chicago, Illinois","cpd commander on scene with coyote - cpd",-87.6348928,41.8309172
"Agency Assists","12-01902836","Nov 16, 2012",2012,11,"600 W 73RD ST, Chicago, Illinois","beat 732 in park @ coyote layng in park appears injured - cpd",-87.6400028,41.7616612
"Agency Assists","13-00029395","Jan 08, 2013",2013,1,"9700 S BEVERLY AVE, Chicago, Illinois","wolf or coyote in backyard - cpd",-87.6617099,41.717495
"Agency Assists","13-00324000","Mar 22, 2013",2013,3,"9500 S COTTAGE GROVE AVE, Chicago, Illinois","coyote - coyote cpd has confined in playlot of a university",-87.6047711,41.7165497
"Agency Assists","13-01253034","Aug 30, 2013",2013,8,"3300 N CAMPBELL AVE, Chicago, Illinois","***Coyote sighting near school grounds CPD on scene requesting assistance-possibly ill",-87.6920097,41.9417837
"Agency Assists","13-01836476","Dec 11, 2013",2013,12,"2800 W 51ST ST, Chicago, Illinois","cpd with coyote trapped in lot - cpd",-87.6940092,41.8009847
"Animal Abandoned","12-00035436","Jan 09, 2012",2012,1,"7800 S INGLESIDE AVE, Chicago, Illinois","Other - Other per resident they spotted a coyote",-87.6016063,41.7531189
"Animal Abandoned","13-00539058","May 06, 2013",2013,5,"5500 N CALIFORNIA AVE, Chicago, Illinois","Coyote spotted last night in the residents yard - Other - Yard  I had to enter this I know this is the wrong description but there is not a selection for a wild animal",-87.6991011,41.9812969
"Animal Bite","13-01289338","Sep 04, 2013",2013,9,"6700 S 71ST ST ER, Chicago, Illinois","MCCALLUM#6850 - Dog - BITE L.LEG - SEP 3, 2013 - 10:45 PM -  - Dog - Human - Male - 61 - Female - Coyote - Male - Brown - Large - MCCALLUM#6850 - DOG NOT ON LISH - SEP 03 2013 2330 - P004333076 7-12-030 - MCCALLUM#6850 - WC",-87.5926201,41.7660013
"Animal Fighting","11-00149109","Jan 31, 2011",2011,1,"2800 W BALMORAL AVE, Chicago, Illinois",".Other  This   request is for Coyotes they are in the back of this address there isn""t any alleys  but there is alot of brush in that area and the residents have seen the paw prints of the animals this has been going on for a week can you please have some tranquilize them neighbors are worried. This is happening in the early hours of the morning, The  Alderman has also seen them  a few blocks away.




",-87.6990331,41.9794663
"Animal Fighting","13-01411325","Sep 23, 2013",2013,9,"9900 S COMMERCIAL AVE, Chicago, Illinois","Other - coyote fighting - in alley",-87.551413,41.715299
"Animal Trap Request","11-00207133","Feb 08, 2011",2011,2,"9200 S WINCHESTER AVE, Chicago, Illinois","caller states that 2 coyotes were about to approach his son 11pm and he chased them away he fears for the small children in the ward.",-87.6716362,41.7262918
