"type","request_number","date","year","month","block","description","lon","lat"
"Agency Assists","11-03313594","Jul 06, 2011",2011,7,"100 N DEARBORN ST, Chicago, Illinois","opossum near city hall per 911",-87.6294344,41.8832145
"Agency Assists","11-03425124","Jul 21, 2011",2011,7,"400 E 66TH ST, Chicago, Illinois","cpd on scene w/opossum inside apartment",-87.6151671,41.7749829
"Agency Assists","12-00133711","Jan 31, 2012",2012,1,"4000 W 26TH ST, Chicago, Illinois","cpd standing by w/opossum on sidewalk - cpd",-87.7247935,41.8445257
"Agency Assists","12-00852440","May 02, 2012",2012,5,"5300 N WESTERN AVE, Chicago, Illinois","INJ OPOSSUM INSIDE OF STREETS & SAN",-87.6895753,41.9779271
"Agency Assists","12-01953893","Dec 02, 2012",2012,12,"2300 W 21ST ST, Chicago, Illinois","ASSIST CPD BT. 1223 W/INJ OPOSSUM IN THE FRONT YARD",-87.6834031,41.8541562
"Agency Assists","13-00223054","Feb 27, 2013",2013,2,"8300 S MICHIGAN AVE, Chicago, Illinois","resident shot opossum in backyard...still alive - cpd",-87.6211824,41.7436982
"Animal Abandoned","12-01468227","Aug 16, 2012",2012,8,"10100 S EMERALD AVE, Chicago, Illinois","Other - Yard - POSSUM and her family hahas taken over my backyard 0f #of possum is 5",-87.641984,41.7104657
"Animal Abandoned","12-01517355","Aug 27, 2012",2012,8,"3100 W 83RD ST, Chicago, Illinois","Dead possum in roadway - Other - Other",-87.6997529,41.7425376
"Animal Abandoned","12-01631760","Sep 18, 2012",2012,9,"1800 W 22ND PL, Chicago, Illinois","pl - Other - Other - opossums seen in alley",-87.6709041,41.8514754
"Animal Abandoned","13-00145678","Feb 06, 2013",2013,2,"100 W 109TH PL, Chicago, Illinois","Other - 1st Floor-per cllr, there is a family of opossums breeding inside this vacant property. cllr keeps seeing too many lately.",-87.625784,41.695544
"Animal Abandoned","13-00442894","Apr 17, 2013",2013,4,"4800 W THOMAS ST, Chicago, Illinois","dead possum in alley - Other - Other",-87.7459302,41.9005009
"Animal Abandoned","13-01602439","Oct 25, 2013",2013,10,"4000 S INDIANA AVE, Chicago, Illinois","abandoned house racoons opossum going in and out of abandoned house",-87.6215403,41.8217417
"Animal Abandoned","13-01701689","Nov 13, 2013",2013,11,"8000 S SAGINAW AVE, Chicago, Illinois","Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING",-87.5604233,41.7498597
"Animal Business","11-03973293","Oct 18, 2011",2011,10,"800 N WESTERN AVE, Chicago, Illinois","village west vet. - Animal Hospital - opossum in box",-87.6869099,41.8957377
"Animal Business","12-01038094","Jun 06, 2012",2012,6,"9600 S FOREST AVE, Chicago, Illinois","Dead animal--elderly citizens requesting assistance with removal of a dead possum stuck between the back porch structure and the building foundation; they have made several attempts to obtain assistance but no one has shown up or called; they are physically incapable of getting the animal out themselves. - CoC Dead Animal dept. - Other - City department will not assist occupants who are elderly with deceased animal",-87.616806,41.7199029
"Animal - Inhumane Treatment","12-00762790","Apr 14, 2012",2012,4,"4300 N SACRAMENTO AVE, Chicago, Illinois","burying dead opossum in the backyard and also breeding them - Non Pet Animals Owned (goats, chickens, pigs, etc) - burying dead opossum in the backyard and also breeding them - opossum",-87.7033018,41.9593976
"Animal - Inhumane Treatment","12-00907455","May 11, 2012",2012,5,"4900 W IOWA ST, Chicago, Illinois","911 dispatch xfrd back to 311 no indication of dispatch - Animal is being beaten - sidewalk in front of prop. svl hours now - per cllr at - kids are kicking/ throwing things at / trying to set opossum on fire - Other",-87.7484735,41.8969782
"Animal - Inhumane Treatment","13-01749994","Nov 21, 2013",2013,11,"6100 N HOYNE AVE, Chicago, Illinois","ENCLOSED Back PORCH 3RD FL - KITTENS - TAIL - Living outside for long periods - RACCOON AND OPOSSUM ARE AROUND THE KITTEN,",-87.6825558,41.9919715
"Animal In Trap","11-00024435","Jan 05, 2011",2011,1,"10600 S MAY ST, Chicago, Illinois","Squirrel - Opossum - Inside the House - Caller is not sure what the animal is but its caught in a box in her home and would like it removed.",-87.6507709,41.7013502
"Animal In Trap","11-00243558","Feb 13, 2011",2011,2,"5500 N NATCHEZ AVE, Chicago, Illinois","Opossum - Inside the House. CALLER'S LANDLORD HAS BEEN INFORMED OF 
POSSIBLE  POSSUM COMING IN AND OUT OF UPSTAIRS AREA AT NIGHT TIME ONLY.
LANDLORD DOES NOT CARE.",-87.7892257,41.9811834
"Animal In Trap","11-00248219","Feb 14, 2011",2011,2,"4500 N MARMORA AVE, Chicago, Illinois","Opossum - Other, inside a white bucket inside the garbage cart",-87.7746355,41.9622473
"Animal In Trap","11-00268452","Feb 16, 2011",2011,2,"3300 W 55TH ST, Chicago, Illinois","Opossum - Backyard - STREET AND SANA  14WARD YARD",-87.7062156,41.7936614
"Animal In Trap","11-00327757","Feb 25, 2011",2011,2,"8600 S CARPENTER ST, Chicago, Illinois","under blanket  in driveway..Opossum - Backyard",-87.6500396,41.7376522
