"type","request_number","date","year","month","block","description","lon","lat"
"Agency Assists","11-00354768","Mar 02, 2011",2011,3,"3600 N NB OUTER LAKE SHORE DR","RACCOON HAS BEEN THERE FOR 2 WKS. BEHIND CLOCK TOWER BLG. EAST OF CLOCK TOWERE ON LAKE SIDE OF TOWER ON WALKING PATH. - PARK DIST.",-87.6442335,41.9489835
"Agency Assists","11-00904771","Apr 17, 2011",2011,4,"5100 N SIMONDS DR","sick raccoon on parkway - alledge rabit raacoon on parkway - zone 6",-87.645236,41.968827
"Agency Assists","11-03535250","Aug 04, 2011",2011,8,"7000 N OLEANDER AVE","Per Ald office  ( 41th Ward ) - pick up doa raccoon - senior frightened",-87.8154099,42.0080123
"Agency Assists","11-03575015","Aug 11, 2011",2011,8,"3000 N KENNETH AVE","assist  cpd with 3 raccoons street",-87.7381363,41.935315
"Agency Assists","11-03782960","Sep 14, 2011",2011,9,"3200 W 108TH PL","cpd on scene w/raccoon chasing kids area - cpd",-87.7009909,41.6960707
"Agency Assists","12-00969587","May 23, 2012",2012,5,"13000 S EXCHANGE AVE","REMOVE BABY RACCOON IN BSMNT GYM-PUBLIC SPORT EVENT TO BEGIN IN HALF HOUR",-87.5521395,41.6589276
"Agency Assists","12-01606595","Sep 12, 2012",2012,9,"5100 N PULASKI RD","raccoon in water pumping station - raccoon in city facility",-87.7281968,41.9748267
"Agency Assists","13-00547628","May 08, 2013",2013,5,"3900 E 112TH ST","COOK COUNTY FOREST PRESERVE  HOURS ALL TIME - 6 A.M TO 2:30 P,M  RACCOON  IN THE ATTIC = TURN INTO GROVE GO TOWARDS BLDG ",-87.5292886,41.6920806
"Agency Assists","13-00813660","Jun 24, 2013",2013,6,"9600 S LONGWOOD DR","RACCOON IN FIELDHOUSE",-87.6694211,41.7191511
"Agency Assists","13-01347896","Sep 13, 2013",2013,9,"5700 W MADISON ST","***Baby raccoon injured in a box- in front of the 15th district",-87.76833,41.880548
"Agency Assists","13-01446343","Sep 30, 2013",2013,9,"8100 S ASHLAND AVE","raccoon inside of fire house",-87.6637,41.7465002
"Agency Assists","13-01527618","Oct 12, 2013",2013,10,"10000 W OHARE ST","US AIRWAYS AT O'HARE AIRPORT CONCOURSE A TERMINAL 2 GROUND LEVEL RACCOON IS CAUGHT BTWN SECURITY DOORS 023-025 ",-87.8863359,41.9801774
"Agency Assists","13-01654435","Nov 04, 2013",2013,11,"10700 S RHODES AVE","***bt 533 on scene w injured raccoon",-87.6100561,41.6998515
"Animal Abandoned","12-00723884","Apr 05, 2012",2012,4,"5800 N PULASKI RD","Other - 1st Floor- CALLER STATES 5 BABY RACCOONS WERE FOUND IN A VACANT WAREHOUSE- CALLER HAS THE ANIMALS INSIDE A BOX AT THE OFFICE",-87.730864,41.9871839
"Animal Abandoned","12-00807679","Apr 23, 2012",2012,4,"5600 N KOSTNER AVE","many raccoons living in this grage no one lives there please send animal control out here - Other - Garage",-87.7383083,41.9827389
"Animal Abandoned","13-01701689","Nov 13, 2013",2013,11,"8000 S SAGINAW AVE","Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING",-87.5603943,41.7498494
