,,,,,,
,Report Title,,,,,
,,,,,,
Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Agency Assists,11-03526625,"Aug 03, 2011",2011,8,2600 S PRAIRIE AVE,fox running in park and in the street - n
Animal Abandoned,11-00517736,"Mar 29, 2011",2011,3,7200 S DORCHESTER AVE, - Dog - 2nd Floor  THEY ONLY WORK MON. THRU FRIDAY. 9 TO 5PM AND THEY WOULD LIKE TO BE CONTACTED WHEN SOMEONE CAN COME OUT 
Animal Bite,11-00018922,"Jan 03, 2011",2011,1,2200 W CORTLAND ST,"SMALL ABRASION TO RIGHT HAND - Human - Female - 35 - SMALL ABRASION TO RIGHT HAND - JAN 4, 2011 - 11:45 PM - PARK - Dog - Fox Terrier/Toy Fox Terrier - Female - Gray - Medium - 18374 - CALICDAN, WILBERT #18374"
Animal Bite,11-00072265,"Jan 15, 2011",2011,1,5100 N LEAVITT ST,"Human - Male - 42 - bite on right side of right hand and index finger - JAN 15, 2011 - 8:40 AM - park - Dog - Labrador Retriever - Tan - Large - 4875 - FOX#4875"
Animal Bite,11-00419008,"Mar 14, 2011",2011,3,1700 N HOYNE AVE,"several dog bites to the abdomen and the back of the dog after breaking loose from the owner and attacking - dnA - dna - Dog - Male - dna - torn dog bites to the back and the abdomen - FEB 28, 2011 - 9:30 AM - 9:30 PM -  Dog - unknown - unk - dna - Great Pyrenees - DNA - Male - White - Large - 1654 - dna - dna - FOX DAVID 1654 - OB"
Animal Bite,11-02309244,"May 30, 2011",2011,5,4000 N CALIFORNIA AVE,"Human - Female - 63 - PUNCTURE WOUND TO LT THIGH - MAY 30, 2011 - 12:45 PM - 4000 N CALIFORNIA - Dog - 91180630 - Pit Bull Mixed - Female - White - Medium - #4875 - #4875 FOX - RY"
Animal Bite,11-03880342,"Sep 30, 2011",2011,9,4600 N SACRAMENTO AVE,"Human - Male - 33 - SCRATCH BEHIND LEFT KNEE - SEP 30, 2011 - 12:10 PM - TO SIDEWALK - Dog - Pit Bull Mixed - Male - Brown - Large - 11558 - ROSAS 11558  REFUSED MEDICAL ATTENTION: (WITNESS - FOX, GARY M/W/57 "
Animal Bite,11-03893008,"Oct 03, 2011",2011,10,700 W BITTERSWEET PL,"Human - Dog - bite to neck - OCT 2, 2011 - 7:15 PM - Dog - Fox Terrier Wirehaired - Black/White - Medium - 4731 - RYAN 4731 - DN"
Animal Bite,13-00566945,"May 11, 2013",2013,5,6100 N ROCKWELL ST,"two dogs were on scene. it is unknown if victim was bit by both dogs or just one of them.2 puncture wound to left leg - Human - Female - 12 - 2 punctures wounds to left leg - MAY 11, 2013 - 2:15 PM -hallway - Dog - 31-035384 - Chihuahua Mixed - CHIHUAHUA MIXED - Male - Black/White - Small - 6527 - FOX 6527 - RY"
Animal Bite,13-00980114,"Jul 18, 2013",2013,7,5800 S NATCHEZ AVE,"Human - Male - 45 - laceration to rt leg - JUL 18, 2013 - 5:00 AM - 5:00 PM - house - Fox Terrier/Toy Fox Terrier - Female - Black - Small - mariani*7760bt871 - MARIANI*7760BT871 - RY"
Animal Bite,13-01253789,"Aug 30, 2013",2013,8,3300 S CARPENTER ST,"Human - Male - 42 - LACERATIONS TO THE RIGHT HAND - AUG 30, 2013 - 7:50 AM - SIDEWALK - Dog - LACERATIONS & 2 PUNCTURE WOUNDS TO THE RIGHT HAND - 31213535 - Poodle - Fox Terrier/Toy Fox Terrier - Poodle - Male - Brown - Small - MACKLIN M 11904 - MACKLIN M 11904 - PM - VICTIM IS A DOG WALKER AND WHILE WALKING SAID DOG VICTIM BENT DOWN AND THE DOG TURNED AROUND AND BIT VICTIM IN THE HAND - VICTIM TOOK HIMSELF TO MERCY HOSPITAL TO SEEK MEDICAL TREATMENT. VICTIM WAS TREATED BY AND WILL RECEIVE TWO STICHES AND WILL BE RELEASED."
Animal - Inhumane Treatment,11-00781017,"Apr 12, 2011",2011,4,5300 N OCONTO AVE,5100 n oconto a fox in this area is being abused by citizens - Other - fox being abused - Yard
Animal - Inhumane Treatment,11-03482487,"Jul 28, 2011",2011,7,6700 S CARPENTER ST,No Food or Water Provided and Living outside for long periods - dog-pitbull chained to backyard fence - no food or water provided -[this is being reported by Fox News Reporter-NFI] - Yard
Animal - Inhumane Treatment,12-01984325,"Dec 10, 2012",2012,12,6100 S KILBOURN AVE,"CORNER HOUSE GUY CAME OUT OF HIS GARAGE  WITH A MASK EYE AND NOSE , - Other PER CALLER A FOX WAS CHAINED TO A BACKYARD FENCE, ORANGE AND WHITE TAIL BUSHY - Other CHECK GARAGE PER CALLER ALSO."
Animal Trap Request,11-00834543,"Apr 14, 2011",2011,4,5800 N OCONTO AVE,Enclosed Porch -nest of red foxe's
Animal Trap Request,11-02957109,"Jun 15, 2011",2011,6,6000 N OCONTO AVE, - FAMILY OF FOXES
Dangerous Dog,12-01144366,"Jun 25, 2012",2012,6,4800 W GLADYS AVE,"DD# for bites 12-01098755, 12-01102218, 11-03517062, and 12-00050147 - Bite Report - 12-01098755, 12-01102218, 12-00050147, and 11-03517062 - Hugo, MooMoo, Thumbelina, Foxy - Rottweiler"
Injured Animal,11-00347177,"Mar 01, 2011",2011,3,3100 N CLYBOURN AVE,SMALL TAN DOG - Home - CALLER HAS DOG AT VET WAS HIT BY CAR SMALL DOG LOOKS LIKE A FOX - Other - DOG - HIT BY CAR
Injured Animal,11-00855836,"Apr 15, 2011",2011,4,7200 W TALCOTT AVE,fox - leg is injured
Injured Animal,11-00899324,"Apr 17, 2011",2011,4,5900 N OCONTO AVE,Back yard - fox - limping and just had pups
Injured Animal,11-01061124,"Apr 23, 2011",2011,4,6000 N OCONTO AVE,"Front yard - fox - limping, can't walk--liter of foxes at "
Injured Animal,11-01702617,"May 13, 2011",2011,5,2200 W 111TH ST,Other - coyote - Back yard - don't know what is wrong with coyote/fox - laying under balcony behind address
