Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Agency Assists,11-00354768,"Mar 02, 2011",2011,3,3600 N NB OUTER LAKE SHORE DR,RACCOON HAS BEEN THERE FOR 2 WKS. BEHIND CLOCK TOWER BLG. EAST OF CLOCK TOWERE ON LAKE SIDE OF TOWER ON WALKING PATH. - PARK DIST.
Agency Assists,11-00904771,"Apr 17, 2011",2011,4,5100 N SIMONDS DR,sick raccoon on parkway - alledge rabit raacoon on parkway - zone 6
Agency Assists,11-03535250,"Aug 04, 2011",2011,8,7000 N OLEANDER AVE,Per Ald office  ( 41th Ward ) - pick up doa raccoon - senior frightened
Agency Assists,11-03575015,"Aug 11, 2011",2011,8,3000 N KENNETH AVE,assist  cpd with 3 raccoons street
Agency Assists,11-03782960,"Sep 14, 2011",2011,9,3200 W 108TH PL,cpd on scene w/raccoon chasing kids area - cpd
Agency Assists,12-00969587,"May 23, 2012",2012,5,13000 S EXCHANGE AVE,REMOVE BABY RACCOON IN BSMNT GYM-PUBLIC SPORT EVENT TO BEGIN IN HALF HOUR
Agency Assists,12-01606595,"Sep 12, 2012",2012,9,5100 N PULASKI RD,raccoon in water pumping station - raccoon in city facility
Agency Assists,13-00547628,"May 08, 2013",2013,5,3900 E 112TH ST,"COOK COUNTY FOREST PRESERVE  HOURS ALL TIME - 6 A.M TO 2:30 P,M  RACCOON  IN THE ATTIC = TURN INTO GROVE GO TOWARDS BLDG "
Agency Assists,13-00813660,"Jun 24, 2013",2013,6,9600 S LONGWOOD DR,RACCOON IN FIELDHOUSE
Agency Assists,13-01347896,"Sep 13, 2013",2013,9,5700 W MADISON ST,***Baby raccoon injured in a box- in front of the 15th district
Agency Assists,13-01446343,"Sep 30, 2013",2013,9,8100 S ASHLAND AVE,raccoon inside of fire house
Agency Assists,13-01527618,"Oct 12, 2013",2013,10,10000 W OHARE ST,US AIRWAYS AT O'HARE AIRPORT CONCOURSE A TERMINAL 2 GROUND LEVEL RACCOON IS CAUGHT BTWN SECURITY DOORS 023-025 
Agency Assists,13-01654435,"Nov 04, 2013",2013,11,10700 S RHODES AVE,***bt 533 on scene w injured raccoon
Animal Abandoned,12-00723884,"Apr 05, 2012",2012,4,5800 N PULASKI RD,Other - 1st Floor- CALLER STATES 5 BABY RACCOONS WERE FOUND IN A VACANT WAREHOUSE- CALLER HAS THE ANIMALS INSIDE A BOX AT THE OFFICE
Animal Abandoned,12-00807679,"Apr 23, 2012",2012,4,5600 N KOSTNER AVE,many raccoons living in this grage no one lives there please send animal control out here - Other - Garage
Animal Abandoned,13-01701689,"Nov 13, 2013",2013,11,8000 S SAGINAW AVE,"Other - 1st Floor. RODENTS, RACCOONS, OPOSSUMS LIVING IN BUIDING"
Animal Bite,11-00418949,"Mar 14, 2011",2011,3,1000 E OHIO ST,"on duty chicago police was walking to guard area raccoon ran up and bite on rear left of calf leaving to punture marks - dna - dna - Human - Male - 57 years - two puncture marks on the rear of left leg calf - MAR 14, 2011 - 8:55 AM - 8:55 PM - 1000 e ohio st - Racoon - none - none - Unknown - DNA - Female - Black/Tan - Small - 12618 - dna - dna - none -  12618 - OB"
Animal Bite,12-00666841,"Mar 25, 2012",2012,3,2700 W PRINDIVILLE ST,"Human - Male - 40 - 1 PUNCTURE AND SCRATCHES WOUND TO LEFT LOWER LEG - MAR 25, 2012 - 12:30 AM - sidewalk - Cat - Unknown - Brown - Small - D Alcazar 11798 - D ALCAZAR 11798 - DN - Victim was drunk at the time of incident  and was not sure if a cat or raccoon bit him."
Animal - Inhumane Treatment,12-00800059,"Apr 22, 2012",2012,4,6300 S LOCKWOOD AVE,"Providing no food or water - TRAPPING RACCOONS, SQUIRRELS AND OPPOSSUM - Yard AND SIDE DRIVEWAY"
Animal - Inhumane Treatment,12-01044394,"Jun 07, 2012",2012,6,12200 S WALLACE ST,Other - caller states that there is squirrels and raccoons in cages in the front and backyard at this address - Yard
Animal - Inhumane Treatment,12-01096882,"Jun 18, 2012",2012,6,4300 W 25TH PL,"Other - CALLER STATES WOMAN IS HOUSING RACCOONS IN BASEMENT, FEEDING THEM, RACCOONS COME OUT AT NIGHT, CALLER STATES RACCOON KILLED HER CAT - Basement"
Animal - Inhumane Treatment,12-01116418,"Jun 20, 2012",2012,6,3600 N NEWCASTLE AVE,Other - OPUSSOMS & RACCOONS ARE BEING TRAP IN CAGES IN THE BACKYARD AND ROTTEN IN THE CAGES - Yard
Animal - Inhumane Treatment,12-01456219,"Aug 15, 2012",2012,8,11200 S AVENUE G ,RACCOON IN GARBAGE CAN - Raccoon - Other - RACOON IS STUCK IN THE GARBAGE CAN AND IT CAN'T GET OUT.  OWNER OF HOME IS WORRIED - Other
Animal - Inhumane Treatment,12-01973870,"Dec 07, 2012",2012,12,4000 N HERMITAGE AVE,Other - CALLER STATED THAT THE OWNER OF THE PROPERTY IS SETTING TRAPS TO CATCH RACCOONS THAT ARE HANGING AROUND HIS HOUSE AND THE NEIGHBORHOOD. ONCE THE ANIMALS ARE TRAPPED HE KEEPS THEM IN THE CAGE TILL THEY DIE. - Yard
Animal - Inhumane Treatment,13-00691016,"Jun 04, 2013",2013,6,3700 N FRANCISCO AVE,Other - caller states that there is a cage of 7 raccoons on the porch of this location.. - Yard
