,,,,,,
,Report Title,,,,,
,,,,,,
Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Agency Assists,11-00039662,"Jan 09, 2011",2011,1,7500 N PAULINA ST,COYOTE ON CTA RED LINE TRACKS
Agency Assists,11-03762917,"Sep 11, 2011",2011,9,400 E 130TH ST,coyote sighted in area - cpd stopped acc in field
Agency Assists,12-00151810,"Feb 03, 2012",2012,2,1100 S MORGAN ST,cpd has coyote confined at this location - cpd
Agency Assists,12-00316424,"Feb 22, 2012",2012,2,300 W 35TH ST,cpd commander on scene with coyote - cpd
Agency Assists,12-01902836,"Nov 16, 2012",2012,11,600 W 73RD ST,beat 732 in park @ coyote layng in park appears injured - cpd
Agency Assists,13-00029395,"Jan 08, 2013",2013,1,9700 S BEVERLY AVE,wolf or coyote in backyard - cpd
Agency Assists,13-00324000,"Mar 22, 2013",2013,3,9500 S COTTAGE GROVE AVE,coyote - coyote cpd has confined in playlot of a university
Agency Assists,13-01253034,"Aug 30, 2013",2013,8,3300 N CAMPBELL AVE,***Coyote sighting near school grounds CPD on scene requesting assistance-possibly ill
Agency Assists,13-01836476,"Dec 11, 2013",2013,12,2800 W 51ST ST,cpd with coyote trapped in lot - cpd
Animal Abandoned,12-00035436,"Jan 09, 2012",2012,1,7800 S INGLESIDE AVE,Other - Other per resident they spotted a coyote
Animal Abandoned,13-00539058,"May 06, 2013",2013,5,5500 N CALIFORNIA AVE,Coyote spotted last night in the residents yard - Other - Yard  I had to enter this I know this is the wrong description but there is not a selection for a wild animal
Animal Bite,13-01289338,"Sep 04, 2013",2013,9,6700 S 71ST ST ER,"MCCALLUM#6850 - Dog - BITE L.LEG - SEP 3, 2013 - 10:45 PM -  - Dog - Human - Male - 61 - Female - Coyote - Male - Brown - Large - MCCALLUM#6850 - DOG NOT ON LISH - SEP 03 2013 2330 - P004333076 7-12-030 - MCCALLUM#6850 - WC"
Animal Fighting,11-00149109,"Jan 31, 2011",2011,1,2800 W BALMORAL AVE,".Other  This   request is for Coyotes they are in the back of this address there isn""t any alleys  but there is alot of brush in that area and the residents have seen the paw prints of the animals this has been going on for a week can you please have some tranquilize them neighbors are worried. This is happening in the early hours of the morning, The  Alderman has also seen them  a few blocks away.




"
Animal Fighting,13-01411325,"Sep 23, 2013",2013,9,9900 S COMMERCIAL AVE,Other - coyote fighting - in alley
Animal Trap Request,11-00207133,"Feb 08, 2011",2011,2,9200 S WINCHESTER AVE,caller states that 2 coyotes were about to approach his son 11pm and he chased them away he fears for the small children in the ward.
Animal Trap Request,11-02586324,"Jun 06, 2011",2011,6,1400 N OGDEN AVE,2 coyotes have been seen in the area for several weeks
Dangerous Dog,12-01979154,"Dec 08, 2012",2012,12,3400 W 60TH ST,Bite Report - 1201926116 - Coyote - German Shepherd Dog
Injured Animal,11-00237247,"Feb 10, 2011",2011,2,6400 N CALDWELL AVE,Street - LEGS WERE INJURED - LARGE DOG OR COYOTE
Injured Animal,11-00276807,"Feb 17, 2011",2011,2,6400 W BRYN MAWR AVE,Other - COYOTE - INJURED  PAW LIMPING TAFT H.S. FOOTBALL FIELD
Injured Animal,11-00302105,"Feb 22, 2011",2011,2,9900 S SEELEY AVE,inj coyote under car
Injured Animal,11-00346726,"Mar 01, 2011",2011,3,4000 N CUMBERLAND AVE,Street - coyote - hit by car on Irving here to River Rd.
Injured Animal,11-00384285,"Mar 08, 2011",2011,3,2200 N CANNON DR,Other - dog/coyote - howlind stranded out in middle of pond south of  zoo area near lincoln park zoo in the wooded area -the south pond - N/A - N/A - NORTH OF NORTH AVE BETWEEN LAKE SHORE DRIVE/STOCKTON
Injured Animal,11-00449731,"Mar 20, 2011",2011,3,2300 S LAKE SHORE DR,"Street - coyote - hit by car-NB lane, just south of 31st street"
Injured Animal,11-00454700,"Mar 21, 2011",2011,3,1600 N LAKE SHORE DR,Other - coyote - broken leg or something is broken--animal location is the bridge over the park on north ave and lake shore drive
Injured Animal,11-01005311,"Apr 21, 2011",2011,4,200 W FULLERTON DR,on fullerton  between cannon and stockton - Street - coyote - broken leg
Injured Animal,11-01017621,"Apr 21, 2011",2011,4,9100 S MACKINAW AVE,Street - COYOTE - hit by auto - runs towards lake -[by bridge area on east 91st STreet]
Injured Animal,11-01530946,"May 08, 2011",2011,5,500 W BLACKHAWK ST,Street - coyote  near north metropolitan high school blackhawk & larrabee - lethargic
Injured Animal,11-01634787,"May 11, 2011",2011,5,1700 N MOHAWK ST,Sidewalk - coyote/large/brown-gray/mangy looking - looks sickly - N/A
Injured Animal,11-01634845,"May 11, 2011",2011,5,1600 N MOHAWK ST,Sidewalk - coyote/large/gray-brown - looks sickly - N/A - N/A - ON CORNER OF MOHAWK/NORTH
Injured Animal,11-01634915,"May 11, 2011",2011,5,500 W BLACKHAWK ST,Sidewalk - coyote/medium/gray-brown - looks sick - N/A - LAST SEEN AT BLACKHAWK/LARRABEE
Injured Animal,11-01702617,"May 13, 2011",2011,5,2200 W 111TH ST,Other - coyote - Back yard - don't know what is wrong with coyote/fox - laying under balcony behind address
Injured Animal,11-02297554,"May 30, 2011",2011,5,3200 S INDIANA AVE,Other - COYOTE - BROKEN LEG
Injured Animal,11-02505648,"Jun 04, 2011",2011,6,6200 S CHAMPLAIN AVE,"OTHER/WOLF - Non Pet Animals Owned (goats, chickens, pigs, etc) - 1-WEEK OLD WOLF OR COYOTE - Front yard - BABY WOLF OR COYOTE - NEWBORN"
Injured Animal,11-02623745,"Jun 07, 2011",2011,6,10100 S BISHOP FORD 103RD ST STONY ER,coyote near 111th street on bishop ford - coyote
Injured Animal,11-03127868,"Jun 20, 2011",2011,6,400 E 32ND ST,"Back yard. caller lives in apt. complex: Lake meadows. the closed in  area is considered shared back yard for residents - looked like fox(but the thought is a coyote) - back , right leg was seemingly very hurt: severe limp"
