commonName,locationAbbr,count,J
Coyote,D05-ADC1,0,5
Coyote,D07-ASC0,1,26
Coyote,R05-MTC1,8,26
Coyote,S05-RES1,1,28
Coyote,S07-STJ1,7,28
Coyote,R04-SCH1,0,28
Coyote,D02-HUP0,3,29
Coyote,D02-JBS1,0,29
Coyote,D02-MBS0,0,2
Coyote,D02-MDU1,3,32
Coyote,D02-MOP1,0,29
Coyote,D02-RCP1,8,27
Coyote,D02-SCP1,0,29
Coyote,D03-AFP1,0,29
Coyote,D03-AMP1,0,30
Coyote,D03-CHP1,1,29
Coyote,D03-GOM1,0,30
Coyote,D03-MFP0,0,30
Coyote,D04-DNP1,2,30
Coyote,D04-FGP1,0,30
Coyote,D04-RDP1,0,30
Coyote,D05-BRP1,0,30
Coyote,J01-BBS1,1,28
Coyote,J01-LMP1,0,19
Coyote,J01-SEP1,NA,0
Coyote,J01-SKP1,0,28
Coyote,R02-DPG1,1,28
Coyote,R03-AUP1,3,28
Coyote,R03-CPG1,12,28
Coyote,S02-BNS1,0,28
Coyote,S02-BRI1,0,28
Coyote,S02-CPR1,3,27
Coyote,S02-MCP1,1,28
Coyote,S02-PIP1,0,4
Coyote,S03-JKP1,0,28
Coyote,S03-JKP2,4,28
Coyote,S03-LCP1,2,28
Coyote,S03-PSP1,0,28
Coyote,S03-VIP1,0,28
Coyote,S03-WAP1,0,28
Coyote,S04-HAP1,4,28
Coyote,S04-SSP1,0,12
Coyote,D04-EDW0,0,30
Coyote,D04-EVC0,2,30
Coyote,D05-MIA1,0,27
Coyote,D07-NOC1,0,14
Coyote,D08-DAW2,0,4
Coyote,D08-DAW0,3,27
Coyote,R04-MMW0,1,28
Coyote,S04-OTW1,3,28
Coyote,S06-CBW1,2,28
Coyote,S07-SAG1,1,28
Coyote,R06-SLT1,0,19
Coyote,R06-YOW1,0,28
Coyote,R07-GOF1,2,27
Coyote,R08-WBK1,10,27
Coyote,R09-BLW1,7,27
Coyote,R09-LIM0,1,27
Coyote,R10-WCP0,3,27
Coyote,R10-WDW0,7,16
Coyote,S07-WGL0,6,28
Coyote,S08-WGL1,1,28
Coyote,S08-WGL2,1,28
Coyote,R10-FRM1,8,27
Coyote,R10-FRM2,0,27
Coyote,R08-DAP1,1,27
Coyote,R08-PAP1,0,27
Coyote,D06-KCG1,0,27
Coyote,D09-RYW1,0,27
Coyote,D10-CAN0,4,26
Coyote,D10-MAC1,0,27
Coyote,S10-LEW1,0,28
Coyote,R07-FSP1,1,27
Coyote,R07-MMP1,1,27
Coyote,R05-STP1,0,28
Coyote,R06-OTB1,7,27
Coyote,R03-EUC1,0,28
Coyote,R03-MAP1,0,28
Coyote,D05-PRC1,0,27
Coyote,D08-CCC1,5,26
Coyote,D09-CLG0,4,27
Coyote,R05-FMG1,2,28
Coyote,R05-GOC1,0,28
Coyote,R08-VLG1,2,15
Coyote,R09-CTG0,8,27
Coyote,R09-SMI1,0,9
Coyote,S05-LNC1,2,16
Coyote,S05-SFP0,4,28
Coyote,S09-SMC1,0,28
Coyote,S10-LPC1,2,28
Coyote,J01-UIC1,0,28
Coyote,R06-SLT2,1,28
Coyote,R07-YHR1,3,27
Coyote,D10-VHC1,1,26
Coyote,D09-VTC1,0,4
Coyote,S09-ILC1,0,28
Coyote,S09-KTP1,3,28
Coyote,S09-VTW0,0,4
Coyote,S10-ILC1,1,28
Coyote,S10-LPP0,6,28
Raccoon,D05-ADC1,0,5
Raccoon,D07-ASC0,3,26
Raccoon,R05-MTC1,8,26
Raccoon,S05-RES1,12,28
Raccoon,S07-STJ1,3,28
Raccoon,R04-SCH1,1,28
Raccoon,D02-HUP0,6,29
Raccoon,D02-JBS1,20,29
Raccoon,D02-MBS0,0,2
Raccoon,D02-MDU1,1,32
Raccoon,D02-MOP1,0,29
Raccoon,D02-RCP1,0,27
Raccoon,D02-SCP1,1,29
Raccoon,D03-AFP1,0,29
Raccoon,D03-AMP1,0,30
Raccoon,D03-CHP1,0,29
Raccoon,D03-GOM1,14,30
Raccoon,D03-MFP0,0,30
Raccoon,D04-DNP1,2,30
Raccoon,D04-FGP1,0,30
Raccoon,D04-RDP1,0,30
Raccoon,D05-BRP1,0,30
Raccoon,J01-BBS1,1,28
Raccoon,J01-LMP1,0,19
Raccoon,J01-SEP1,NA,0
Raccoon,J01-SKP1,0,28
Raccoon,R02-DPG1,6,28
Raccoon,R03-AUP1,3,28
Raccoon,R03-CPG1,2,28
Raccoon,S02-BNS1,1,28
Raccoon,S02-BRI1,0,28
Raccoon,S02-CPR1,3,27
Raccoon,S02-MCP1,2,28
Raccoon,S02-PIP1,0,4
Raccoon,S03-JKP1,26,28
Raccoon,S03-JKP2,6,28
Raccoon,S03-LCP1,1,28
Raccoon,S03-PSP1,0,28
Raccoon,S03-VIP1,0,28
Raccoon,S03-WAP1,1,28
Raccoon,S04-HAP1,2,28
Raccoon,S04-SSP1,0,12
Raccoon,D04-EDW0,22,30
Raccoon,D04-EVC0,11,30
Raccoon,D05-MIA1,7,27
Raccoon,D07-NOC1,0,14
Raccoon,D08-DAW2,0,4
Raccoon,D08-DAW0,4,27
Raccoon,R04-MMW0,8,28
Raccoon,S04-OTW1,25,28
Raccoon,S06-CBW1,15,28
Raccoon,S07-SAG1,3,28
Raccoon,R06-SLT1,0,19
Raccoon,R06-YOW1,19,28
Raccoon,R07-GOF1,3,27
Raccoon,R08-WBK1,18,27
Raccoon,R09-BLW1,12,27
Raccoon,R09-LIM0,17,27
Raccoon,R10-WCP0,9,27
Raccoon,R10-WDW0,2,16
Raccoon,S07-WGL0,5,28
Raccoon,S08-WGL1,11,28
Raccoon,S08-WGL2,11,28
Raccoon,R10-FRM1,12,27
Raccoon,R10-FRM2,9,27
Raccoon,R08-DAP1,11,27
Raccoon,R08-PAP1,12,27
Raccoon,D06-KCG1,12,27
Raccoon,D09-RYW1,8,27
Raccoon,D10-CAN0,4,26
Raccoon,D10-MAC1,0,27
Raccoon,S10-LEW1,5,28
Raccoon,R07-FSP1,2,27
Raccoon,R07-MMP1,0,27
Raccoon,R05-STP1,10,28
Raccoon,R06-OTB1,10,27
Raccoon,R03-EUC1,0,28
Raccoon,R03-MAP1,0,28
Raccoon,D05-PRC1,0,27
Raccoon,D08-CCC1,11,26
Raccoon,D09-CLG0,5,27
Raccoon,R05-FMG1,3,28
Raccoon,R05-GOC1,6,28
Raccoon,R08-VLG1,11,15
Raccoon,R09-CTG0,2,27
Raccoon,R09-SMI1,0,9
Raccoon,S05-LNC1,2,16
Raccoon,S05-SFP0,10,28
Raccoon,S09-SMC1,0,28
Raccoon,S10-LPC1,6,28
Raccoon,J01-UIC1,0,28
Raccoon,R06-SLT2,22,28
Raccoon,R07-YHR1,4,27
Raccoon,D10-VHC1,5,26
Raccoon,D09-VTC1,0,4
Raccoon,S09-ILC1,7,28
Raccoon,S09-KTP1,12,28
Raccoon,S09-VTW0,0,4
Raccoon,S10-ILC1,9,28
Raccoon,S10-LPP0,3,28
Redfox,D05-ADC1,0,5
Redfox,D07-ASC0,0,26
Redfox,R05-MTC1,0,26
Redfox,S05-RES1,0,28
Redfox,S07-STJ1,0,28
Redfox,R04-SCH1,9,28
Redfox,D02-HUP0,0,29
Redfox,D02-JBS1,0,29
Redfox,D02-MBS0,0,2
Redfox,D02-MDU1,0,32
Redfox,D02-MOP1,0,29
Redfox,D02-RCP1,0,27
Redfox,D02-SCP1,0,29
Redfox,D03-AFP1,0,29
Redfox,D03-AMP1,0,30
Redfox,D03-CHP1,0,29
Redfox,D03-GOM1,0,30
Redfox,D03-MFP0,0,30
Redfox,D04-DNP1,0,30
Redfox,D04-FGP1,0,30
Redfox,D04-RDP1,0,30
Redfox,D05-BRP1,0,30
Redfox,J01-BBS1,0,28
Redfox,J01-LMP1,0,19
Redfox,J01-SEP1,NA,0
Redfox,J01-SKP1,0,28
Redfox,R02-DPG1,0,28
Redfox,R03-AUP1,0,28
Redfox,R03-CPG1,0,28
Redfox,S02-BNS1,0,28
Redfox,S02-BRI1,0,28
Redfox,S02-CPR1,0,27
Redfox,S02-MCP1,0,28
Redfox,S02-PIP1,0,4
