CommonName,locationAbbr,count,J
Coyote,C04-MBP1,NA,0
Coyote,C05-BMP1,NA,0
Coyote,C05-BMP2,NA,0
Coyote,C06-HMP1,NA,0
Coyote,D02-BMT0,NA,0
Coyote,D02-HUP0,0,24
Coyote,D02-JBS1,0,31
Coyote,D02-MBS0,0,27
Coyote,D02-MDU1,0,11
Coyote,D02-MOP1,0,27
Coyote,D02-RCP1,2,27
Coyote,D02-SCP1,0,27
Coyote,D03-AFP1,0,27
Coyote,D03-AMP1,0,27
Coyote,D03-CHP1,0,27
Coyote,D03-GOM1,0,26
Coyote,D03-HOR1,NA,0
Coyote,D03-MFP0,0,27
Coyote,D03-NPV1,NA,0
Coyote,D03-STB1,NA,0
Coyote,D04-DNP1,1,27
Coyote,D04-EDW0,1,27
Coyote,D04-EVC0,1,27
Coyote,D04-FGP1,0,27
Coyote,D04-RDP1,0,27
Coyote,D04-ROS0,NA,0
Coyote,D05-ADC1,0,27
Coyote,D05-BRP1,1,27
Coyote,D05-MIA1,0,27
Coyote,D05-PRC1,NA,0
Coyote,D06-KCG1,0,16
Coyote,D07-ASC0,2,31
Coyote,D07-BEC0,0,31
Coyote,D07-NOC1,0,1
Coyote,D08-CCC1,0,31
Coyote,D08-DAW0,NA,0
Coyote,D08-DAW2,6,31
Coyote,D09-CLG0,0,31
Coyote,D09-RYW1,0,31
Coyote,D09-VTC1,0,31
Coyote,D10-CAN0,7,31
Coyote,D10-MAC1,0,31
Coyote,D10-VHC1,2,31
Coyote,J01-BBS1,1,29
Coyote,J01-CLP1,0,29
Coyote,J01-LMP1,0,29
Coyote,J01-NOR1,NA,0
Coyote,J01-SEP1,0,29
Coyote,J01-SKP1,0,29
Coyote,J01-UIC1,0,29
Coyote,R02-DPG1,0,29
Coyote,R02-FRP1,0,29
Coyote,R03-AUP1,0,29
Coyote,R03-CPG1,3,29
Coyote,R03-EUC1,0,29
Coyote,R03-MAP1,1,14
Coyote,R04-MMW0,2,29
Coyote,R04-MMW3,NA,0
Coyote,R04-SCH1,0,29
Coyote,R05-FMG1,0,29
Coyote,R05-GOC1,0,29
