Parameter,Lower95,Median,Upper95,Effective sample size,Gelman-Rubin diagnostic
beta_occ[1],-0.03,0,0.04,12942,1
beta_occ[2],0.09,0.14,0.19,4349,1.01
beta_occ[3],-0.23,-0.16,-0.1,8939,1
beta_pa_det[1],-0.52,-0.41,-0.29,6995,1
beta_pa_det[2],-0.6,-0.4,-0.21,10084,1
beta_po_det[1],2.09,2.86,3.63,2755,1
beta_po_det[2],-0.27,0.03,0.34,9054,1
beta_po_det[3],-0.34,0.53,1.52,13332,1
pa_mu,-3.64,-3.1,-2.56,2647,1
po_mu,2.88,3.97,5.15,2686,1
pa_season[1],-1.26,-0.43,0.35,6300,1
pa_season[2],-1.51,-0.67,0.1,6326,1
pa_season[3],-1.33,-0.51,0.23,6068,1
pa_season[4],-1.44,-0.64,0.11,6391,1
pa_season[5],-0.68,0.06,0.76,6559,1
pa_season[6],-1.28,-0.47,0.28,7148,1
pa_season[7],-0.58,0.24,1,8167,1
pa_season[8],0.17,0.77,1.38,3594,1
pa_season[9],0.06,0.8,1.56,5582,1
pa_season[10],-0.77,0.01,0.72,6127,1
pa_season[11],-1.76,-0.96,-0.18,7002,1
pa_season[12],-0.2,0.38,0.96,3728,1
po_season[1],-0.72,0.19,1.23,14990,1
po_season[2],-0.73,0.14,1.05,20104,1
po_season[3],-0.99,-0.04,0.96,22301,1
po_season[4],-0.77,0.08,1.02,21572,1
po_season[5],-0.79,0,0.87,19890,1
po_season[6],-0.64,0.22,1.18,20673,1
po_season[7],-1.07,-0.14,0.82,22209,1
po_season[8],-0.83,0,0.85,19293,1
po_season[9],-0.82,0,0.81,19874,1
po_season[10],-0.6,0.28,1.25,20210,1
po_season[11],-0.55,0.35,1.39,19019,1
po_season[12],-0.83,-0.05,0.73,15766,1
"b[1,1]",-4.77,-3.78,-2.57,2726,1
"b[2,1]",0.23,0.48,0.74,1625,1.01
"b[3,1]",0.01,0.55,1.07,582,1.01
"b[4,1]",-1.46,-0.84,-0.31,498,1.01
"b[5,1]",-1.31,-0.63,0.02,352,1
"b[6,1]",1.17,1.97,2.84,253,1.01
"b[7,1]",-0.53,0.44,1.42,189,1.03
"b[8,1]",1.76,2.98,4.28,118,1.04
"b[9,1]",0,0.08,0.15,804,1
"b[10,1]",-0.86,-0.31,0.25,431,1.01
"b[1,2]",-4.72,-3.79,-2.69,2433,1
"b[2,2]",0.15,0.37,0.6,11109,1
"b[3,2]",-0.55,-0.11,0.33,2104,1
"b[4,2]",-0.96,-0.46,0.03,2172,1
"b[5,2]",-0.92,-0.32,0.26,952,1
"b[6,2]",1.52,2.29,3.07,682,1.01
"b[7,2]",-0.78,0.13,0.99,429,1.01
"b[8,2]",2.26,3.34,4.55,223,1.03
"b[9,2]",0.01,0.07,0.13,2186,1
"b[10,2]",-0.8,-0.31,0.17,1054,1
"b[1,3]",-4.67,-3.85,-2.88,2649,1
"b[2,3]",0.05,0.3,0.56,21280,1
"b[3,3]",-0.33,0.14,0.62,6015,1
"b[4,3]",-1.08,-0.55,-0.03,8603,1
"b[5,3]",-0.97,-0.37,0.22,2476,1
"b[6,3]",1.43,2.18,2.96,1698,1
"b[7,3]",-0.33,0.48,1.33,932,1.01
"b[8,3]",2.29,3.39,4.49,420,1.02
"b[9,3]",-0.03,0.04,0.11,7618,1
"b[10,3]",-0.72,-0.23,0.28,3375,1
"b[1,4]",-4.68,-3.9,-3.04,3186,1
"b[2,4]",0.26,0.48,0.71,20134,1
"b[3,4]",-0.48,-0.04,0.4,10521,1
"b[4,4]",-0.97,-0.47,0,15435,1
"b[5,4]",-0.36,0.19,0.77,5830,1
"b[6,4]",1.18,1.91,2.63,3717,1
"b[7,4]",0.21,0.98,1.74,2909,1
"b[8,4]",2.2,3.23,4.32,768,1.01
"b[9,4]",0.01,0.07,0.13,9368,1
"b[10,4]",-0.7,-0.23,0.23,6171,1
"b[1,5]",-4.79,-4.07,-3.34,4723,1
"b[2,5]",0.45,0.66,0.87,18641,1
"b[3,5]",-0.71,-0.3,0.12,11052,1
"b[4,5]",-1.14,-0.67,-0.23,16689,1
"b[5,5]",-0.33,0.23,0.77,6656,1
"b[6,5]",0.79,1.48,2.17,10248,1
"b[7,5]",0.69,1.43,2.2,7250,1
"b[8,5]",1.82,2.82,3.83,1424,1.01
"b[9,5]",-0.06,-0.01,0.05,8009,1
"b[10,5]",-0.97,-0.5,-0.03,6504,1
"b[1,6]",-4.98,-4.29,-3.56,5756,1
"b[2,6]",0.44,0.66,0.9,19234,1
"b[3,6]",-0.72,-0.28,0.18,11749,1
"b[4,6]",-1.42,-0.93,-0.45,15587,1
"b[5,6]",-0.13,0.46,1.02,7315,1
"b[6,6]",0.77,1.49,2.21,11267,1
"b[7,6]",1.1,1.86,2.65,8543,1
"b[8,6]",1.56,2.54,3.55,2409,1.01
"b[9,6]",-0.02,0.04,0.1,8988,1
"b[10,6]",-0.93,-0.45,0.03,7249,1
"b[1,7]",-5.24,-4.6,-3.96,8982,1
"b[2,7]",0.53,0.79,1.05,18815,1
"b[3,7]",-0.64,-0.16,0.32,11093,1
"b[4,7]",-1.44,-0.94,-0.45,18645,1
"b[5,7]",-0.27,0.31,0.9,7960,1
"b[6,7]",0.49,1.22,1.93,12690,1
"b[7,7]",1.24,2.03,2.82,8628,1
"b[8,7]",1.26,2.23,3.21,4150,1
"b[9,7]",-0.12,-0.05,0.02,9976,1
"b[10,7]",-1.34,-0.82,-0.31,7464,1
"b[1,8]",-5.08,-4.55,-4.01,13393,1
"b[2,8]",0.14,0.33,0.51,19426,1
"b[3,8]",-0.7,-0.3,0.09,12111,1
"b[4,8]",-1.26,-0.83,-0.41,18391,1
"b[5,8]",0.18,0.71,1.23,7027,1
"b[6,8]",0.12,0.74,1.4,13559,1
"b[7,8]",1.04,1.77,2.5,9377,1
"b[8,8]",1.03,1.99,2.91,4309,1
"b[9,8]",-0.06,-0.01,0.04,8552,1
"b[10,8]",-1.14,-0.7,-0.27,7200,1
"b[1,9]",-5.4,-4.85,-4.29,13049,1
"b[2,9]",0.19,0.37,0.54,18423,1
"b[3,9]",-0.61,-0.23,0.16,13291,1
"b[4,9]",-1.34,-0.95,-0.54,16369,1
"b[5,9]",0.12,0.62,1.13,7423,1
"b[6,9]",-0.5,0.13,0.76,13111,1
"b[7,9]",1.12,1.82,2.53,9435,1
"b[8,9]",0.68,1.61,2.54,4626,1
"b[9,9]",0.04,0.09,0.14,8990,1
"b[10,9]",-1.11,-0.68,-0.27,7173,1
"b[1,10]",-5.42,-4.81,-4.2,10354,1
"b[2,10]",0.29,0.5,0.71,19127,1
"b[3,10]",-0.35,0.09,0.53,13820,1
"b[4,10]",-1.66,-1.19,-0.74,17114,1
"b[5,10]",0.01,0.58,1.11,7808,1
"b[6,10]",-0.84,-0.14,0.55,12903,1
"b[7,10]",1,1.78,2.52,9849,1
"b[8,10]",0.34,1.35,2.34,5079,1
"b[9,10]",0.01,0.07,0.13,10342,1
"b[10,10]",-0.89,-0.42,0.04,8030,1
"b[1,11]",-5.09,-4.43,-3.74,8686,1
"b[2,11]",0.23,0.48,0.72,19767,1
"b[3,11]",-0.39,0.1,0.57,17083,1
"b[4,11]",-1.55,-1.03,-0.55,15837,1
"b[5,11]",0.1,0.71,1.29,7881,1
"b[6,11]",-0.81,-0.07,0.67,13201,1
"b[7,11]",1.01,1.8,2.65,10886,1
"b[8,11]",0.33,1.39,2.48,5897,1
"b[9,11]",0.07,0.14,0.2,11929,1
"b[10,11]",-0.53,-0.05,0.46,8315,1
"b[1,12]",-4.73,-4.11,-3.46,10342,1
"b[2,12]",0.08,0.25,0.42,20081,1
"b[3,12]",-0.12,0.29,0.72,18029,1
"b[4,12]",-1.2,-0.75,-0.3,16306,1
"b[5,12]",0.21,0.82,1.4,7512,1
"b[6,12]",-0.68,0.04,0.79,15815,1
"b[7,12]",1.12,1.95,2.84,12454,1
"b[8,12]",0.28,1.44,2.58,6573,1
"b[9,12]",0,0.05,0.11,8016,1
"b[10,12]",-0.49,-0.01,0.44,7598,1
rho,-2.51,-1.43,-0.38,1707,1.01
gam_sd,0.29,0.38,0.48,4450,1
pa_sd_season,0.46,0.75,1.17,10778,1
po_sd_season,0.35,0.59,0.95,17740,1
