Parameter,Lower95,Median,Upper95,Effective sample size,Gelman-Rubin diagnostic
beta_occ[1],0.17,0.22,0.27,9334,1
beta_occ[2],-0.27,-0.17,-0.07,3240,1
beta_occ[3],-0.07,-0.01,0.05,9127,1
beta_pa_det[1],-0.37,-0.25,-0.12,13776,1
beta_pa_det[2],-0.31,-0.18,-0.05,14914,1
beta_po_det[1],1.48,2.03,2.57,8331,1
beta_po_det[2],0.97,1.47,1.96,12626,1
beta_po_det[3],1.08,2.06,3.14,7571,1
pa_mu,-2.38,-1.87,-1.39,1869,1
po_mu,1.19,1.92,2.7,4868,1
pa_season[1],-1.81,-0.86,-0.01,7208,1
pa_season[2],-0.69,0.09,0.82,4954,1
pa_season[3],-1.49,-0.46,0.44,8961,1
pa_season[4],0.11,0.64,1.19,2269,1
pa_season[5],-1.49,-0.43,0.51,9545,1
pa_season[6],0.09,0.65,1.22,2630,1
pa_season[7],-0.09,0.47,1.04,2529,1
pa_season[8],-0.11,0.49,1.06,2668,1
pa_season[9],-2.11,-1.17,-0.3,7665,1
pa_season[10],-0.81,-0.14,0.55,3987,1
pa_season[11],-0.78,-0.14,0.51,3384,1
pa_season[12],-0.54,0,0.55,2297,1
po_season[1],-1.38,-0.49,0.39,17292,1
po_season[2],-0.97,-0.18,0.63,19411,1
po_season[3],-0.53,0.2,0.94,16990,1
po_season[4],-0.79,-0.02,0.78,19905,1
po_season[5],-0.39,0.45,1.32,18923,1
po_season[6],-0.46,0.31,1.14,19518,1
po_season[7],-0.64,0.08,0.86,18256,1
po_season[8],-0.27,0.49,1.37,18416,1
po_season[9],-0.96,-0.1,0.78,22986,1
po_season[10],-0.65,0.13,0.94,19753,1
po_season[11],-0.88,-0.11,0.67,19611,1
po_season[12],-1.08,-0.27,0.51,20584,1
"b[1,1]",-5.31,-4.66,-4.02,13857,1
"b[2,1]",-0.63,-0.33,-0.03,1959,1
"b[3,1]",-0.16,0.37,0.94,712,1.01
"b[4,1]",-1.82,-1.14,-0.51,463,1.01
"b[5,1]",0.34,1.17,2,388,1
"b[6,1]",-0.55,0.29,1.1,325,1.01
"b[7,1]",-1,-0.08,0.83,512,1.01
"b[8,1]",-1.35,-0.1,1.13,199,1.07
"b[9,1]",-0.21,-0.12,-0.03,803,1
"b[10,1]",-1.16,-0.53,0.09,488,1.01
"b[1,2]",-5.25,-4.68,-4.16,12375,1
"b[2,2]",-0.4,-0.16,0.09,7138,1
"b[3,2]",-0.2,0.27,0.76,1163,1
"b[4,2]",-1.7,-1.2,-0.69,1139,1
"b[5,2]",0.66,1.38,2.09,611,1
"b[6,2]",-0.5,0.24,0.95,594,1
"b[7,2]",-0.82,0.04,0.88,788,1
"b[8,2]",-1.21,-0.05,1.12,232,1.05
"b[9,2]",-0.17,-0.1,-0.02,1119,1
"b[10,2]",-1.17,-0.6,-0.03,649,1
"b[1,3]",-5.17,-4.64,-4.13,12023,1
"b[2,3]",-0.49,-0.25,-0.03,8937,1
"b[3,3]",-0.35,0.12,0.57,1757,1
"b[4,3]",-1.59,-1.14,-0.67,3053,1
"b[5,3]",1.07,1.74,2.39,981,1
"b[6,3]",-0.58,0.09,0.76,1235,1
"b[7,3]",-0.66,0.2,0.99,1065,1
"b[8,3]",-1.12,0.04,1.11,347,1.04
"b[9,3]",-0.18,-0.11,-0.04,1585,1
"b[10,3]",-1.04,-0.52,0.01,1086,1
"b[1,4]",-4.79,-4.3,-3.84,13622,1
"b[2,4]",-0.36,-0.12,0.13,10334,1
"b[3,4]",-0.43,0.03,0.49,3345,1
"b[4,4]",-1.69,-1.21,-0.74,9451,1
"b[5,4]",1.17,1.83,2.46,1586,1
"b[6,4]",-0.62,0.06,0.71,2517,1
"b[7,4]",-0.5,0.31,1.12,1662,1
"b[8,4]",-1.08,0.01,1.12,458,1.03
"b[9,4]",-0.17,-0.1,-0.03,2555,1
"b[10,4]",-1.08,-0.56,-0.03,1863,1
"b[1,5]",-4.95,-4.45,-3.96,14226,1
"b[2,5]",-0.22,0.04,0.32,16535,1
"b[3,5]",-0.55,-0.05,0.42,4723,1
"b[4,5]",-1.84,-1.36,-0.87,12783,1
"b[5,5]",1.21,1.84,2.49,2365,1
"b[6,5]",-0.86,-0.19,0.49,3887,1
"b[7,5]",-0.35,0.44,1.27,2050,1
"b[8,5]",-1.11,-0.03,1.09,655,1.02
"b[9,5]",-0.2,-0.12,-0.05,3816,1
"b[10,5]",-1.03,-0.49,0.05,2775,1
"b[1,6]",-4.88,-4.42,-3.95,15603,1
"b[2,6]",-0.44,-0.19,0.04,15744,1
"b[3,6]",-0.27,0.18,0.65,5484,1
"b[4,6]",-1.78,-1.33,-0.86,14995,1
"b[5,6]",1.28,1.92,2.53,2691,1
"b[6,6]",-0.71,-0.07,0.57,5900,1
"b[7,6]",-0.27,0.54,1.34,2968,1
"b[8,6]",-1.13,-0.05,1.05,762,1.01
"b[9,6]",-0.2,-0.13,-0.06,3796,1
"b[10,6]",-1.05,-0.54,-0.02,2847,1
"b[1,7]",-4.82,-4.35,-3.88,16104,1
"b[2,7]",-0.31,-0.08,0.15,12785,1
"b[3,7]",-0.26,0.19,0.63,5022,1
"b[4,7]",-1.74,-1.3,-0.85,14127,1
"b[5,7]",1.55,2.2,2.8,3000,1
"b[6,7]",-0.72,-0.08,0.57,5967,1
"b[7,7]",-0.26,0.52,1.35,3089,1
"b[8,7]",-1.15,-0.03,1.03,1005,1.01
"b[9,7]",-0.23,-0.16,-0.1,3205,1
"b[10,7]",-0.85,-0.33,0.15,2966,1
"b[1,8]",-4.9,-4.44,-3.96,15630,1
"b[2,8]",-0.25,-0.02,0.21,13820,1
"b[3,8]",-0.38,0.07,0.53,5466,1
"b[4,8]",-1.69,-1.22,-0.78,13040,1
"b[5,8]",1.68,2.29,2.93,2920,1
"b[6,8]",-0.96,-0.3,0.34,6345,1
"b[7,8]",-0.46,0.37,1.18,3121,1
"b[8,8]",-1.19,-0.09,1.03,1152,1.01
"b[9,8]",-0.18,-0.11,-0.04,3456,1
"b[10,8]",-0.92,-0.4,0.09,3204,1
"b[1,9]",-5,-4.48,-3.98,13712,1
"b[2,9]",-0.47,-0.18,0.09,15787,1
"b[3,9]",-0.39,0.1,0.59,6555,1
"b[4,9]",-1.44,-0.95,-0.45,14715,1
"b[5,9]",1.63,2.26,2.95,3160,1
"b[6,9]",-0.95,-0.28,0.39,6272,1
"b[7,9]",-0.61,0.19,1.08,2882,1
"b[8,9]",-1.25,-0.11,1.03,1186,1.01
"b[9,9]",-0.2,-0.12,-0.05,4167,1
"b[10,9]",-1.05,-0.51,0.02,3368,1
"b[1,10]",-4.95,-4.48,-4.03,14418,1
"b[2,10]",-0.49,-0.25,0,15982,1
"b[3,10]",-0.28,0.17,0.68,5180,1
"b[4,10]",-1.5,-1.02,-0.55,15281,1
"b[5,10]",1.49,2.16,2.82,2662,1
"b[6,10]",-0.87,-0.2,0.51,6185,1
"b[7,10]",-0.88,-0.01,0.87,2781,1
"b[8,10]",-1.3,-0.15,1.05,1262,1.01
"b[9,10]",-0.24,-0.17,-0.1,3555,1
"b[10,10]",-1.12,-0.57,-0.04,3205,1
"b[1,11]",-4.74,-4.28,-3.82,15939,1
"b[2,11]",-0.32,-0.08,0.16,12745,1
"b[3,11]",-0.4,0.09,0.57,4611,1
"b[4,11]",-1.38,-0.92,-0.43,14699,1
"b[5,11]",1.59,2.29,3,2830,1
"b[6,11]",-0.83,-0.13,0.63,6665,1
"b[7,11]",-0.95,-0.06,0.9,3059,1
"b[8,11]",-1.33,-0.14,1.11,1361,1
"b[9,11]",-0.26,-0.18,-0.11,3086,1
"b[10,11]",-1.23,-0.65,-0.11,2969,1
"b[1,12]",-4.39,-3.89,-3.4,17194,1
"b[2,12]",-0.41,-0.13,0.14,15155,1
"b[3,12]",-0.42,0.13,0.72,5916,1
"b[4,12]",-1.43,-0.85,-0.28,16842,1
"b[5,12]",1.41,2.21,2.98,3246,1
"b[6,12]",-0.84,-0.02,0.83,8834,1
"b[7,12]",-1.05,-0.02,1,3711,1
"b[8,12]",-1.4,-0.11,1.21,1864,1
"b[9,12]",-0.23,-0.15,-0.07,3983,1
"b[10,12]",-1.57,-0.9,-0.27,3712,1
rho,-1.92,-0.6,0.66,835,1
gam_sd,0.23,0.29,0.37,5479,1
pa_sd_season,0.45,0.74,1.16,11663,1
po_sd_season,0.35,0.6,0.94,20424,1
