Parameter,Lower95,Median,Upper95,Effective sample size,Gelman-Rubin diagnostic
beta_occ[1],0.05,0.09,0.13,8747,1
beta_occ[2],-0.16,-0.08,-0.01,6950,1
beta_occ[3],-0.06,-0.01,0.04,5567,1
beta_pa_det[1],-0.47,-0.34,-0.21,7239,1
beta_pa_det[2],0.39,0.49,0.59,13260,1
beta_po_det[1],1.51,1.83,2.18,9094,1
beta_po_det[2],0.2,0.52,0.85,9650,1
beta_po_det[3],0.91,1.66,2.54,2314,1
pa_mu,-3.34,-2.75,-2.16,1503,1
po_mu,0.5,1.07,1.71,3460,1
pa_season[1],-1.54,-0.74,-0.03,3594,1
pa_season[2],-2.34,-1.38,-0.53,4637,1
pa_season[3],-0.87,-0.06,0.73,3938,1
pa_season[4],-1.07,-0.3,0.4,3093,1
pa_season[5],-0.88,-0.12,0.57,2911,1
pa_season[6],-0.2,0.47,1.11,2098,1
pa_season[7],-0.74,0.02,0.73,3252,1
pa_season[8],-1.03,-0.26,0.43,3257,1
pa_season[9],-2.08,-1.18,-0.36,4038,1
pa_season[10],-0.24,0.38,0.99,1917,1
pa_season[11],0.44,1.04,1.63,1870,1
pa_season[12],-0.06,0.52,1.1,1728,1
po_season[1],-1.24,-0.53,0.11,13323,1
po_season[2],-0.24,0.32,0.91,13804,1
po_season[3],-0.74,-0.16,0.41,13785,1
po_season[4],-0.5,0.09,0.75,14409,1
po_season[5],-0.7,-0.02,0.67,16085,1
po_season[6],-0.7,-0.05,0.57,15996,1
po_season[7],-0.98,-0.35,0.26,14925,1
po_season[8],-0.47,0.19,0.84,14336,1
po_season[9],-0.83,-0.09,0.66,18940,1
po_season[10],-0.26,0.4,1.11,17243,1
po_season[11],-0.33,0.27,0.9,15136,1
po_season[12],-0.54,0.15,0.84,15463,1
"b[1,1]",-4.81,-4.11,-3.46,7848,1
"b[2,1]",-0.43,-0.19,0.04,2228,1
"b[3,1]",-0.07,0.36,0.78,795,1.01
"b[4,1]",-1.09,-0.65,-0.16,710,1.01
"b[5,1]",0.07,0.7,1.36,329,1.01
"b[6,1]",0.11,0.75,1.38,404,1.01
